actorId,primaryName,count
nm0103977,Brahmanandam,10894
nm0000465,Ron Jeremy,10439
nm0305182,Eddie Garcia,9789
nm0246703,Paquito Diaz,8957
nm0149822,Mithun Chakraborty,8359
nm0000616,Eric Roberts,8138
nm0007106,Shakti Kapoor,8008
nm0001000,Tom Byron,7865
nm0474820,Kiran Kumar,7501
nm0045119,Aruna Irani,7488
nm0035067,Cüneyt Arkin,7488
nm0021728,Mario Almada,7410
nm0613417,Raza Murad,7371
nm0798827,Joey Silvera,7163
nm0158101,Chiquito,7059
nm0257406,Olga Engl,6864
nm0004109,Gulshan Grover,6786
nm0003501,Jamie Gillis,6773
nm0006369,Ashok Kumar,6734
nm0023173,Max Alvarado,6721
nm0080173,Master Bhagwan,6682
nm0619107,Masayoshi Nogami,6578
nm0374974,Helen,6578
nm0451600,Anupam Kher,6331
nm0757820,Leopoldo Salcedo,6279
nm0654710,Turgut Özatay,6253
nm0007123,Mammootty,6253
nm0062540,Perla Bautista,6175
nm0273077,Don Fernando,6136
nm0261738,George Estregan,6084
nm0420092,Jeevan,6071
nm0695199,Pran,5954
nm0013023,Agha,5928
nm0415556,Jagdeep,5928
nm0511276,Anita Linda,5915
nm0225905,Wilhelm Diegelmann,5902
nm2147526,Asrani,5850
nm0004429,Dharmendra,5798
nm0430803,Mohan Joshi,5798
nm0083238,Birbal,5785
nm1006879,Dolphy,5746
nm0482320,Mohanlal,5746
nm0369058,Raymond Hatton,5733
nm0225042,Romy Diaz,5733
nm0249982,Eric Edwards,5707
nm0593722,Sharon Mitchell,5681
nm0436922,Fritz Kampers,5668
nm0159159,Prem Chopra,5642
nm0695177,Prakash Raj,5616
nm1894124,Seiji Nakamitsu,5603
nm0101558,Rodolfo 'Boy' Garcia,5564
nm0392442,Jack Holt,5538
nm0354563,Fikret Hakan,5525
nm0671381,Ana Luisa Peluffo,5512
nm0001935,Noah Beery,5473
nm0438615,Atif Kaptan,5460
nm0350104,Roberto 'Flaco' Guzmán,5447
nm0001360,John Holmes,5395
nm7390393,Aachi Manorama,5369
nm0813098,Charito Solis,5343
nm0202515,Charlie Davao,5291
nm0945189,Simon Yam,5291
nm0531759,J. Farrell MacDonald,5265
nm0066075,Rakesh Bedi,5265
nm0080445,Bharat Bhushan,5265
nm0700875,Om Puri,5252
nm0025389,Sadashiv Amrapurkar,5239
nm0783991,Ali Sen,5226
nm0659173,Panchito,5213
nm0667985,Lalita Pawar,5213
nm0479653,Berting Labra,5200
nm0455454,Dinesh Hingoo,5200
nm0395121,Mike Horner,5200
nm1794903,Kuang Chao Chiang,5200
nm0951019,Reha Yurdakul,5187
nm0154164,Soumitra Chatterjee,5174
nm0000561,Peter North,5109
nm0434318,Kader Khan,5096
nm0145061,Eric del Castillo,5083
nm0044796,Raj Babbar,5083
nm0214150,Billy Dee,5070
nm0019699,Sadri Alisik,5057
nm0000514,Michael Madsen,5057
nm0128880,Sharon Kane,5044
nm0427659,Buck Jones,5031
nm0159269,Mohan Choti,4992
nm0534501,Madan Puri,4966
nm0850809,Erol Tas,4927
nm0274628,Tony Ferrer,4914
nm0000367,Gérard Depardieu,4901
nm0349347,Eddie Gutierrez,4901
nm0739418,Gloria Romero,4901
nm0909145,Marc Wallice,4888
nm0579663,Adolphe Menjou,4888
nm0261724,Joe Estevez,4875
nm0411451,Dick Israel,4836
nm0151155,Michael Wai-Man Chan,4823
nm0807979,Eddie Rodriguez,4823
nm0611804,Jack Mulhall,4823
nm0889928,Vic Vargas,4810
